"filename", "language", "JavaScript", "comment", "blank", "total"
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/firebase/index.js", "JavaScript", 20, 0, 3, 23
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/googleMaps/index.js", "JavaScript", 17, 0, 3, 20
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/client.js", "JavaScript", 22, 0, 4, 26
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/constants.js", "JavaScript", 1, 0, 1, 2
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/helpers.js", "JavaScript", 5, 0, 1, 6
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/mutations.js", "JavaScript", 33, 0, 6, 39
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/queries.js", "JavaScript", 113, 0, 10, 123
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/requests.js", "JavaScript", 162, 4, 17, 183
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/responeParsers.js", "JavaScript", 68, 0, 14, 82
"Total", "-", 441, 4, 59, 504
