Date : 2022-08-02 16:01:19
Directory : /Volumes/Macintosh HD – data/ownProjects/captureit/src
Total : 80 files,  3640 codes, 221 comments, 358 blanks, all 4219 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         78 |      3,574 |        221 |        356 |      4,151 |
| JSON       |          2 |         66 |          0 |          2 |         68 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         80 |      3,640 |        221 |        358 |      4,219 |
| common                                                                                                             |         12 |        759 |          0 |         68 |        827 |
| common/Button                                                                                                      |          2 |        253 |          0 |         14 |        267 |
| common/ConditionalWrapper                                                                                          |          1 |          3 |          0 |          2 |          5 |
| common/Container                                                                                                   |          1 |         22 |          0 |          5 |         27 |
| common/Header                                                                                                      |          1 |        137 |          0 |          8 |        145 |
| common/Icon                                                                                                        |          1 |         50 |          0 |          7 |         57 |
| common/Input                                                                                                       |          1 |         66 |          0 |          9 |         75 |
| common/Modal                                                                                                       |          1 |         41 |          0 |          3 |         44 |
| common/Slider                                                                                                      |          1 |         34 |          0 |          2 |         36 |
| common/Spacer                                                                                                      |          1 |         26 |          0 |          5 |         31 |
| common/Text                                                                                                        |          1 |        103 |          0 |         12 |        115 |
| components                                                                                                         |         13 |        687 |         10 |         63 |        760 |
| components/Camera                                                                                                  |          1 |         62 |          0 |          8 |         70 |
| components/CameraButton                                                                                            |          1 |         43 |          0 |          3 |         46 |
| components/Carousel                                                                                                |          1 |         32 |          0 |          2 |         34 |
| components/ImageMiddle                                                                                             |          1 |         25 |          0 |          3 |         28 |
| components/LoadingContainer                                                                                        |          1 |         20 |          0 |          4 |         24 |
| components/LoadingHeaderContainer                                                                                  |          1 |         29 |          0 |          4 |         33 |
| components/Post                                                                                                    |          1 |        134 |          0 |         11 |        145 |
| components/PostBottomContainer                                                                                     |          1 |        130 |          0 |          6 |        136 |
| components/PostCard                                                                                                |          1 |         80 |         10 |          7 |         97 |
| components/PostCardsCarousel                                                                                       |          1 |         18 |          0 |          3 |         21 |
| components/PostsHeader                                                                                             |          1 |         31 |          0 |          3 |         34 |
| components/PostsList                                                                                               |          1 |         57 |          0 |          8 |         65 |
| constants                                                                                                          |          8 |        139 |          9 |         12 |        160 |
| hooks                                                                                                              |          3 |         25 |          0 |          7 |         32 |
| i18n                                                                                                               |          5 |         85 |         10 |         13 |        108 |
| i18n/locales                                                                                                       |          2 |         66 |          0 |          2 |         68 |
| navigation                                                                                                         |         13 |        395 |          1 |         45 |        441 |
| navigation/constants                                                                                               |          6 |        150 |          0 |         13 |        163 |
| navigation/constants/stacks                                                                                        |          5 |        133 |          0 |         12 |        145 |
| navigation/navigators                                                                                              |          5 |        215 |          1 |         26 |        242 |
| providers                                                                                                          |          1 |         94 |          2 |         15 |        111 |
| screens                                                                                                            |         13 |      1,243 |        122 |         97 |      1,462 |
| screens/CameraScreen                                                                                               |          1 |        409 |          6 |         31 |        446 |
| screens/HomeScreen                                                                                                 |          1 |         63 |          0 |          6 |         69 |
| screens/InfoScreen                                                                                                 |          1 |          6 |          0 |          2 |          8 |
| screens/LikedPostsScreen                                                                                           |          1 |         54 |         69 |          8 |        131 |
| screens/LoginScreen                                                                                                |          1 |         97 |          0 |          5 |        102 |
| screens/NotificationScreen                                                                                         |          1 |          6 |          0 |          3 |          9 |
| screens/PostsScreen                                                                                                |          1 |         47 |          0 |          5 |         52 |
| screens/ProfileScreen                                                                                              |          1 |        181 |         47 |         13 |        241 |
| screens/SettingsScreen                                                                                             |          1 |         32 |          0 |          5 |         37 |
| screens/SignUpScreen                                                                                               |          1 |        102 |          0 |          5 |        107 |
| screens/WelcomeScreen                                                                                              |          1 |         81 |          0 |          3 |         84 |
| screens/YesterdayScreen                                                                                            |          1 |        139 |          0 |         10 |        149 |
| theme                                                                                                              |          7 |        114 |         67 |         20 |        201 |
| utils                                                                                                              |          4 |         69 |          0 |         14 |         83 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/App.js                                                      | JavaScript |         30 |          0 |          4 |         34 |
| /Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Button/Button.js                                     | JavaScript |        128 |          0 |          8 |        136 |
