"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/App.js", "JavaScript", 30, 0, 0, 4, 34
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/firebase/index.js", "JavaScript", 20, 0, 0, 3, 23
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/googleMaps/index.js", "JavaScript", 17, 0, 0, 3, 20
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/client.js", "JavaScript", 22, 0, 0, 4, 26
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/constants.js", "JavaScript", 1, 0, 0, 1, 2
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/helpers.js", "JavaScript", 5, 0, 0, 1, 6
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/mutations.js", "JavaScript", 33, 0, 0, 6, 39
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/queries.js", "JavaScript", 113, 0, 0, 10, 123
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/requests.js", "JavaScript", 162, 0, 4, 17, 183
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/api/graphql/responeParsers.js", "JavaScript", 68, 0, 0, 14, 82
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Button/Button.js", "JavaScript", 128, 0, 0, 8, 136
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Button/IconButton.js", "JavaScript", 125, 0, 0, 6, 131
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/ConditionalWrapper/ConditionalWrapper.js", "JavaScript", 3, 0, 0, 2, 5
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Container/Container.js", "JavaScript", 22, 0, 0, 5, 27
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Header/Header.js", "JavaScript", 137, 0, 0, 8, 145
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Icon/Icon.js", "JavaScript", 50, 0, 0, 7, 57
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Input/Input.js", "JavaScript", 66, 0, 0, 9, 75
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Modal/Modal.js", "JavaScript", 41, 0, 0, 3, 44
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Slider/Slider.js", "JavaScript", 34, 0, 0, 2, 36
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Spacer/Spacer.js", "JavaScript", 26, 0, 0, 5, 31
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/Text/Text.js", "JavaScript", 103, 0, 0, 12, 115
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/common/index.js", "JavaScript", 24, 0, 0, 1, 25
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/components/Camera/Camera.js", "JavaScript", 62, 0, 0, 8, 70
"/Volumes/Macintosh HD – data/ownProjects/captureit/src/components/CameraButton/CameraButton.js", "JavaScript", 43, 0, 0, 3, 46
